Adj	Adjective
V-APM-ANS	Verb - Aorist Participle Middle - Accusative Neuter Singular
V-APM-DMP	Verb - Aorist Participle Middle - Dative Masculine Plural
V-APM-DNP	Verb - Aorist Participle Middle - Dative Neuter Plural
V-APM-GFP	Verb - Aorist Participle Middle - Genitive Feminine Plural
V-APM-GFS	Verb - Aorist Participle Middle - Genitive Feminine Singular
V-APM-GMP	Verb - Aorist Participle Middle - Genitive Masculine Plural
V-APM-GMS	Verb - Aorist Participle Middle - Genitive Masculine Singular
V-APM-GNP	Verb - Aorist Participle Middle - Genitive Neuter Plural
V-APM-GNS	Verb - Aorist Participle Middle - Genitive Neuter Singular
V-APM-NFP	Verb - Aorist Participle Middle - Nominative Feminine Plural
V-APM-NFS	Verb - Aorist Participle Middle - Nominative Feminine Singular
V-APM-NMP	Verb - Aorist Participle Middle - Nominative Masculine Plural
V-APM-NMS	Verb - Aorist Participle Middle - Nominative Masculine Singular
V-APM-NNS	Verb - Aorist Participle Middle - Nominative Neuter Singular
V-APM/P-ANP	Verb - Aorist Participle Middle or Passive - Accusative Neuter Plural
V-APM/P-GFS	Verb - Aorist Participle Middle or Passive - Genitive Feminine Singular
V-APM/P-NMS	Verb - Aorist Participle Middle or Passive - Nominative Masculine Singular
V-APP-AFS	Verb - Aorist Participle Passive - Accusative Feminine Singular
V-APP-AMP	Verb - Aorist Participle Passive - Accusative Masculine Plural
V-APP-AMS	Verb - Aorist Participle Passive - Accusative Masculine Singular
V-APP-ANP	Verb - Aorist Participle Passive - Accusative Neuter Plural
V-APP-ANS	Verb - Aorist Participle Passive - Accusative Neuter Singular
V-APP-DFS	Verb - Aorist Participle Passive - Dative Feminine Singular
V-APP-DMS	Verb - Aorist Participle Passive - Dative Masculine Singular
V-APP-DNP	Verb - Aorist Participle Passive - Dative Neuter Plural
V-APP-DNS	Verb - Aorist Participle Passive - Dative Neuter Singular
V-APP-GFP	Verb - Aorist Participle Passive - Genitive Feminine Plural
V-APP-GFS	Verb - Aorist Participle Passive - Genitive Feminine Singular
V-APP-GMP	Verb - Aorist Participle Passive - Genitive Masculine Plural
V-APP-GMS	Verb - Aorist Participle Passive - Genitive Masculine Singular
V-APP-GNP	Verb - Aorist Participle Passive - Genitive Neuter Plural
V-APP-GNS	Verb - Aorist Participle Passive - Genitive Neuter Singular
V-APP-NFP	Verb - Aorist Participle Passive - Nominative Feminine Plural
V-APP-NFS	Verb - Aorist Participle Passive - Nominative Feminine Singular
V-APP-NMP	Verb - Aorist Participle Passive - Nominative Masculine Plural
V-APP-NMS	Verb - Aorist Participle Passive - Nominative Masculine Singular
V-APP-NNP	Verb - Aorist Participle Passive - Nominative Neuter Plural
V-APP-NNS	Verb - Aorist Participle Passive - Nominative Neuter Singular
V-ASA-1P	Verb - Aorist Subjunctive Active - 1st Person Plural
V-ASA-1S	Verb - Aorist Subjunctive Active - 1st Person Singular
V-ASA-2P	Verb - Aorist Subjunctive Active - 2nd Person Plural
V-ASA-2S	Verb - Aorist Subjunctive Active - 2nd Person Singular
V-ASA-3P	Verb - Aorist Subjunctive Active - 3rd Person Plural
V-ASA-3S	Verb - Aorist Subjunctive Active - 3rd Person Singular
V-ASM-1P	Verb - Aorist Subjunctive Middle - 1st Person Plural
V-ASM-1S	Verb - Aorist Subjunctive Middle - 1st Person Singular
V-ASM-2P	Verb - Aorist Subjunctive Middle - 2nd Person Plural
V-ASM-2S	Verb - Aorist Subjunctive Middle - 2nd Person Singular
V-ASM-3P	Verb - Aorist Subjunctive Middle - 3rd Person Plural
V-ASM-3S	Verb - Aorist Subjunctive Middle - 3rd Person Singular
V-ASP-1P	Verb - Aorist Subjunctive Passive - 1st Person Plural
V-ASP-1S	Verb - Aorist Subjunctive Passive - 1st Person Singular
V-ASP-2P	Verb - Aorist Subjunctive Passive - 2nd Person Plural
V-ASP-2S	Verb - Aorist Subjunctive Passive - 2nd Person Singular
V-ASP-3P	Verb - Aorist Subjunctive Passive - 3rd Person Plural
V-ASP-3S	Verb - Aorist Subjunctive Passive - 3rd Person Singular
V-FI-3P	Verb - Future Indicative - 3rd Person Plural
V-FIA-1P	Verb - Future Indicative Active - 1st Person Plural
V-FIA-1S	Verb - Future Indicative Active - 1st Person Singular
V-FIA-2P	Verb - Future Indicative Active - 2nd Person Plural
V-FIA-2S	Verb - Future Indicative Active - 2nd Person Singular
V-FIA-3P	Verb - Future Indicative Active - 3rd Person Plural
V-FIA-3S	Verb - Future Indicative Active - 3rd Person Singular
V-FIM-1P	Verb - Future Indicative Middle - 1st Person Plural
V-FIM-1S	Verb - Future Indicative Middle - 1st Person Singular
V-FIM-2P	Verb - Future Indicative Middle - 2nd Person Plural
V-FIM-2S	Verb - Future Indicative Middle - 2nd Person Singular
V-FIM-3P	Verb - Future Indicative Middle - 3rd Person Plural
V-FIM-3S	Verb - Future Indicative Middle - 3rd Person Singular
V-FIM/P-2P	Verb - Future Indicative Middle or Passive - 2nd Person Plural
V-FIP-1P	Verb - Future Indicative Passive - 1st Person Plural
V-FIP-1S	Verb - Future Indicative Passive - 1st Person Singular
V-FIP-2P	Verb - Future Indicative Passive - 2nd Person Plural
V-FIP-2S	Verb - Future Indicative Passive - 2nd Person Singular
V-FIP-3P	Verb - Future Indicative Passive - 3rd Person Plural
V-FIP-3S	Verb - Future Indicative Passive - 3rd Person Singular
V-FNA	Verb - Future Infinitive Active
V-FNM	Verb - Future Infinitive Middle
V-FPA-ANP	Verb - Future Participle Active - Accusative Neuter Plural
V-FPA-NMP	Verb - Future Participle Active - Nominative Masculine Plural
V-FPA-NMS	Verb - Future Participle Active - Nominative Masculine Singular
V-FPM-ANS	Verb - Future Participle Middle - Accusative Neuter Singular
V-FPP-GNP	Verb - Future Participle Passive - Genitive Neuter Plural
V-IIA-1P	Verb - Imperfect Indicative Active - 1st Person Plural
V-IIA-1S	Verb - Imperfect Indicative Active - 1st Person Singular
V-IIA-2P	Verb - Imperfect Indicative Active - 2nd Person Plural
V-IIA-2S	Verb - Imperfect Indicative Active - 2nd Person Singular
V-IIA-3P	Verb - Imperfect Indicative Active - 3rd Person Plural
V-IIA-3S	Verb - Imperfect Indicative Active - 3rd Person Singular
V-IIM-1P	Verb - Imperfect Indicative Middle - 1st Person Plural
V-IIM-1S	Verb - Imperfect Indicative Middle - 1st Person Singular
V-IIM-2S	Verb - Imperfect Indicative Middle - 2nd Person Singular
V-IIM-3P	Verb - Imperfect Indicative Middle - 3rd Person Plural
V-IIM-3S	Verb - Imperfect Indicative Middle - 3rd Person Singular
V-IIM/P-1P	Verb - Imperfect Indicative Middle or Passive - 1st Person Plural
V-IIM/P-1S	Verb - Imperfect Indicative Middle or Passive - 1st Person Singular
V-IIM/P-2P	Verb - Imperfect Indicative Middle or Passive - 2nd Person Plural
V-IIM/P-2S	Verb - Imperfect Indicative Middle or Passive - 2nd Person Singular
V-IIM/P-3P	Verb - Imperfect Indicative Middle or Passive - 3rd Person Plural
V-IIM/P-3S	Verb - Imperfect Indicative Middle or Passive - 3rd Person Singular
V-IIP-1P	Verb - Imperfect Indicative Passive - 1st Person Plural
V-IIP-3P	Verb - Imperfect Indicative Passive - 3rd Person Plural
V-IIP-3S	Verb - Imperfect Indicative Passive - 3rd Person Singular
V-LIA-1S	Verb - Pluperfect Indicative Active - 1st Person Singular
V-LIA-2P	Verb - Pluperfect Indicative Active - 2nd Person Plural
V-LIA-2S	Verb - Pluperfect Indicative Active - 2nd Person Singular
V-LIA-3P	Verb - Pluperfect Indicative Active - 3rd Person Plural
V-LIA-3S	Verb - Pluperfect Indicative Active - 3rd Person Singular
V-LIM-3P	Verb - Pluperfect Indicative Middle - 3rd Person Plural
V-LIM-3S	Verb - Pluperfect Indicative Middle - 3rd Person Singular
V-LIM/P-3S	Verb - Pluperfect Indicative Middle or Passive - 3rd Person Singular
V-M-2P	Verb - Imperative - 2nd Person Plural
V-M-2S	Verb - Imperative - 2nd Person Singular
V-PI-3S	Verb - Present Indicative - 3rd Person Singular
V-PIA-1P	Verb - Present Indicative Active - 1st Person Plural
V-PIA-1S	Verb - Present Indicative Active - 1st Person Singular
V-PIA-2P	Verb - Present Indicative Active - 2nd Person Plural
V-PIA-2S	Verb - Present Indicative Active - 2nd Person Singular
V-PIA-3P	Verb - Present Indicative Active - 3rd Person Plural
V-PIA-3S	Verb - Present Indicative Active - 3rd Person Singular
V-PIM-1P	Verb - Present Indicative Middle - 1st Person Plural
V-PIM-1S	Verb - Present Indicative Middle - 1st Person Singular
V-PIM-2P	Verb - Present Indicative Middle - 2nd Person Plural
V-PIM-3P	Verb - Present Indicative Middle - 3rd Person Plural
V-PIM-3S	Verb - Present Indicative Middle - 3rd Person Singular
V-PIM/P-1P	Verb - Present Indicative Middle or Passive - 1st Person Plural
V-PIM/P-1S	Verb - Present Indicative Middle or Passive - 1st Person Singular
V-PIM/P-2P	Verb - Present Indicative Middle or Passive - 2nd Person Plural
V-PIM/P-2S	Verb - Present Indicative Middle or Passive - 2nd Person Singular
V-PIM/P-3P	Verb - Present Indicative Middle or Passive - 3rd Person Plural
V-PIM/P-3S	Verb - Present Indicative Middle or Passive - 3rd Person Singular
V-PIP-1S	Verb - Present Indicative Passive - 1st Person Singular
V-PIP-3S	Verb - Present Indicative Passive - 3rd Person Singular
V-PMA-2P	Verb - Present Imperative Active - 2nd Person Plural
V-PMA-2S	Verb - Present Imperative Active - 2nd Person Singular
V-PMA-3P	Verb - Present Imperative Active - 3rd Person Plural
V-PMA-3S	Verb - Present Imperative Active - 3rd Person Singular
V-PMM-2P	Verb - Present Imperative Middle - 2nd Person Plural
V-PMM-2S	Verb - Present Imperative Middle - 2nd Person Singular
V-PMM/P-2P	Verb - Present Imperative Middle or Passive - 2nd Person Plural
V-PMM/P-2S	Verb - Present Imperative Middle or Passive - 2nd Person Singular
V-PMM/P-3P	Verb - Present Imperative Middle or Passive - 3rd Person Plural
V-PMM/P-3S	Verb - Present Imperative Middle or Passive - 3rd Person Singular
V-PMP-2P	Verb - Present Imperative Passive - 2nd Person Plural
V-PMP-3S	Verb - Present Imperative Passive - 3rd Person Singular
V-PNA	Verb - Present Infinitive Active
V-PNM	Verb - Present Infinitive Middle
V-PNM/P	Verb - Present Infinitive Middle or Passive
V-PNP	Verb - Present Infinitive Passive
V-POA-2P	Verb - Present Optative Active - 2nd Person Plural
V-POA-3P	Verb - Present Optative Active - 3rd Person Plural
V-POA-3S	Verb - Present Optative Active - 3rd Person Singular
V-POM/P-1S	Verb - Present Optative Middle or Passive - 1st Person Singular
V-POM/P-3P	Verb - Present Optative Middle or Passive - 3rd Person Plural
V-POM/P-3S	Verb - Present Optative Middle or Passive - 3rd Person Singular
V-PPA-AFP	Verb - Present Participle Active - Accusative Feminine Plural
V-PPA-AFS	Verb - Present Participle Active - Accusative Feminine Singular
V-PPA-AMP	Verb - Present Participle Active - Accusative Masculine Plural
V-PPA-AMS	Verb - Present Participle Active - Accusative Masculine Singular
V-PPA-ANP	Verb - Present Participle Active - Accusative Neuter Plural
V-PPA-ANS	Verb - Present Participle Active - Accusative Neuter Singular
V-PPA-DFP	Verb - Present Participle Active - Dative Feminine Plural
V-PPA-DFS	Verb - Present Participle Active - Dative Feminine Singular
V-PPA-DMP	Verb - Present Participle Active - Dative Masculine Plural
V-PPA-DMS	Verb - Present Participle Active - Dative Masculine Singular
V-PPA-DNP	Verb - Present Participle Active - Dative Neuter Plural
V-PPA-DNS	Verb - Present Participle Active - Dative Neuter Singular
V-PPA-GFP	Verb - Present Participle Active - Genitive Feminine Plural
V-PPA-GFS	Verb - Present Participle Active - Genitive Feminine Singular
V-PPA-GMP	Verb - Present Participle Active - Genitive Masculine Plural
V-PPA-GMS	Verb - Present Participle Active - Genitive Masculine Singular
V-PPA-GNP	Verb - Present Participle Active - Genitive Neuter Plural
V-PPA-GNS	Verb - Present Participle Active - Genitive Neuter Singular
V-PPA-NFP	Verb - Present Participle Active - Nominative Feminine Plural
V-PPA-NFS	Verb - Present Participle Active - Nominative Feminine Singular
V-PPA-NM3S	Verb - Present Participle Active - Nominative Masculine 3rd Person Singular
V-PPA-NMP	Verb - Present Participle Active - Nominative Masculine Plural
V-PPA-NMS	Verb - Present Participle Active - Nominative Masculine Singular
V-PPA-NNP	Verb - Present Participle Active - Nominative Neuter Plural
V-PPA-NNS	Verb - Present Participle Active - Nominative Neuter Singular
V-PPA-VFS	Verb - Present Participle Active - Vocative Feminine Singular
V-PPA-VMP	Verb - Present Participle Active - Vocative Masculine Plural
V-PPA-VMS	Verb - Present Participle Active - Vocative Masculine Singular
V-PPM-AFS	Verb - Present Participle Middle - Accusative Feminine Singular
V-PPM-AMP	Verb - Present Participle Middle - Accusative Masculine Plural
V-PPM-AMS	Verb - Present Participle Middle - Accusative Masculine Singular
V-PPM-ANS	Verb - Present Participle Middle - Accusative Neuter Singular
V-PPM-DMP	Verb - Present Participle Middle - Dative Masculine Plural
V-PPM-DMS	Verb - Present Participle Middle - Dative Masculine Singular
V-PPM-GFP	Verb - Present Participle Middle - Genitive Feminine Plural
V-PPM-GFS	Verb - Present Participle Middle - Genitive Feminine Singular
V-PPM-GMP	Verb - Present Participle Middle - Genitive Masculine Plural
V-PPM-GMS	Verb - Present Participle Middle - Genitive Masculine Singular
V-PPM-GNP	Verb - Present Participle Middle - Genitive Neuter Plural
V-PPM-GNS	Verb - Present Participle Middle - Genitive Neuter Singular
V-PPM-NFP	Verb - Present Participle Middle - Nominative Feminine Plural
V-PPM-NFS	Verb - Present Participle Middle - Nominative Feminine Singular
V-PPM-NMP	Verb - Present Participle Middle - Nominative Masculine Plural
V-PPM-NMS	Verb - Present Participle Middle - Nominative Masculine Singular
V-PPM-NNS	Verb - Present Participle Middle - Nominative Neuter Singular
V-PPM/P-AFP	Verb - Present Participle Middle or Passive - Accusative Feminine Plural
V-PPM/P-AFS	Verb - Present Participle Middle or Passive - Accusative Feminine Singular
V-PPM/P-AMP	Verb - Present Participle Middle or Passive - Accusative Masculine Plural
V-PPM/P-AMS	Verb - Present Participle Middle or Passive - Accusative Masculine Singular
V-PPM/P-ANP	Verb - Present Participle Middle or Passive - Accusative Neuter Plural
V-PPM/P-ANS	Verb - Present Participle Middle or Passive - Accusative Neuter Singular
V-PPM/P-DFP	Verb - Present Participle Middle or Passive - Dative Feminine Plural
V-PPM/P-DFS	Verb - Present Participle Middle or Passive - Dative Feminine Singular
V-PPM/P-DMP	Verb - Present Participle Middle or Passive - Dative Masculine Plural
V-PPM/P-DMS	Verb - Present Participle Middle or Passive - Dative Masculine Singular
V-PPM/P-DNP	Verb - Present Participle Middle or Passive - Dative Neuter Plural
V-PPM/P-DNS	Verb - Present Participle Middle or Passive - Dative Neuter Singular
V-PPM/P-GFP	Verb - Present Participle Middle or Passive - Genitive Feminine Plural
V-PPM/P-GFS	Verb - Present Participle Middle or Passive - Genitive Feminine Singular
V-PPM/P-GMP	Verb - Present Participle Middle or Passive - Genitive Masculine Plural
V-PPM/P-GMS	Verb - Present Participle Middle or Passive - Genitive Masculine Singular
V-PPM/P-GNP	Verb - Present Participle Middle or Passive - Genitive Neuter Plural
V-PPM/P-GNS	Verb - Present Participle Middle or Passive - Genitive Neuter Singular
V-PPM/P-NFP	Verb - Present Participle Middle or Passive - Nominative Feminine Plural
V-PPM/P-NFS	Verb - Present Participle Middle or Passive - Nominative Feminine Singular
V-PPM/P-NMP	Verb - Present Participle Middle or Passive - Nominative Masculine Plural
V-PPM/P-NMS	Verb - Present Participle Middle or Passive - Nominative Masculine Singular
V-PPM/P-NNP	Verb - Present Participle Middle or Passive - Nominative Neuter Plural
V-PPM/P-NNS	Verb - Present Participle Middle or Passive - Nominative Neuter Singular
V-PPM/P-VMP	Verb - Present Participle Middle or Passive - Vocative Masculine Plural
V-PPM/P-VMS	Verb - Present Participle Middle or Passive - Vocative Masculine Singular
V-PPP-DMP	Verb - Present Participle Passive - Dative Masculine Plural
V-PPP-GMP	Verb - Present Participle Passive - Genitive Masculine Plural
V-PPP-GMS	Verb - Present Participle Passive - Genitive Masculine Singular
V-PPP-NMP	Verb - Present Participle Passive - Nominative Masculine Plural
V-PSA-1P	Verb - Present Subjunctive Active - 1st Person Plural
V-PSA-1S	Verb - Present Subjunctive Active - 1st Person Singular
V-PSA-2P	Verb - Present Subjunctive Active - 2nd Person Plural
V-PSA-2S	Verb - Present Subjunctive Active - 2nd Person Singular
V-PSA-3P	Verb - Present Subjunctive Active - 3rd Person Plural
V-PSA-3S	Verb - Present Subjunctive Active - 3rd Person Singular
V-PSM-1P	Verb - Present Subjunctive Middle - 1st Person Plural
V-PSM-1S	Verb - Present Subjunctive Middle - 1st Person Singular
V-PSM-2S	Verb - Present Subjunctive Middle - 2nd Person Singular
V-PSM-3S	Verb - Present Subjunctive Middle - 3rd Person Singular
V-PSM/P-1P	Verb - Present Subjunctive Middle or Passive - 1st Person Plural
V-PSM/P-1S	Verb - Present Subjunctive Middle or Passive - 1st Person Singular
V-PSM/P-2P	Verb - Present Subjunctive Middle or Passive - 2nd Person Plural
V-PSM/P-2S	Verb - Present Subjunctive Middle or Passive - 2nd Person Singular
V-PSM/P-3P	Verb - Present Subjunctive Middle or Passive - 3rd Person Plural
V-PSM/P-3S	Verb - Present Subjunctive Middle or Passive - 3rd Person Singular
V-RIA-1P	Verb - Perfect Indicative Active - 1st Person Plural
V-RIA-1S	Verb - Perfect Indicative Active - 1st Person Singular
V-RIA-2P	Verb - Perfect Indicative Active - 2nd Person Plural
V-RIA-2S	Verb - Perfect Indicative Active - 2nd Person Singular
V-RIA-3P	Verb - Perfect Indicative Active - 3rd Person Plural
V-RIA-3S	Verb - Perfect Indicative Active - 3rd Person Singular
V-RIM-2S	Verb - Perfect Indicative Middle - 2nd Person Singular
V-RIM-3S	Verb - Perfect Indicative Middle - 3rd Person Singular
V-RIM/P-1P	Verb - Perfect Indicative Middle or Passive - 1st Person Plural
V-RIM/P-1S	Verb - Perfect Indicative Middle or Passive - 1st Person Singular
V-RIM/P-2P	Verb - Perfect Indicative Middle or Passive - 2nd Person Plural
V-RIM/P-2S	Verb - Perfect Indicative Middle or Passive - 2nd Person Singular
V-RIM/P-3P	Verb - Perfect Indicative Middle or Passive - 3rd Person Plural
V-RIM/P-3S	Verb - Perfect Indicative Middle or Passive - 3rd Person Singular
V-RIP-1P	Verb - Perfect Indicative Passive - 1st Person Plural
V-RMA-2P	Verb - Perfect Imperative Active - 2nd Person Plural
V-RMM/P-2P	Verb - Perfect Imperative Middle or Passive - 2nd Person Plural
V-RMM/P-2S	Verb - Perfect Imperative Middle or Passive - 2nd Person Singular
V-RNA	Verb - Perfect Infinitive Active
V-RNM/P	Verb - Perfect Infinitive Middle or Passive
V-RPA-AFS	Verb - Perfect Participle Active - Accusative Feminine Singular
V-RPA-AMP	Verb - Perfect Participle Active - Accusative Masculine Plural
V-RPA-AMS	Verb - Perfect Participle Active - Accusative Masculine Singular
V-RPA-ANP	Verb - Perfect Participle Active - Accusative Neuter Plural
V-RPA-ANS	Verb - Perfect Participle Active - Accusative Neuter Singular
V-RPA-DMP	Verb - Perfect Participle Active - Dative Masculine Plural
V-RPA-DMS	Verb - Perfect Participle Active - Dative Masculine Singular
V-RPA-DNS	Verb - Perfect Participle Active - Dative Neuter Singular
V-RPA-GFS	Verb - Perfect Participle Active - Genitive Feminine Singular
V-RPA-GMP	Verb - Perfect Participle Active - Genitive Masculine Plural
V-RPA-GMS	Verb - Perfect Participle Active - Genitive Masculine Singular
V-RPA-GNP	Verb - Perfect Participle Active - Genitive Neuter Plural
V-RPA-NFP	Verb - Perfect Participle Active - Nominative Feminine Plural
V-RPA-NFS	Verb - Perfect Participle Active - Nominative Feminine Singular
V-RPA-NMP	Verb - Perfect Participle Active - Nominative Masculine Plural
V-RPA-NMS	Verb - Perfect Participle Active - Nominative Masculine Singular
V-RPA-NNP	Verb - Perfect Participle Active - Nominative Neuter Plural
V-RPA-NNS	Verb - Perfect Participle Active - Nominative Neuter Singular
V-RPM-AMS	Verb - Perfect Participle Middle - Accusative Masculine Singular
V-RPM-NMP	Verb - Perfect Participle Middle - Nominative Masculine Plural
V-RPM-NMS	Verb - Perfect Participle Middle - Nominative Masculine Singular
V-RPM/P-AFP	Verb - Perfect Participle Middle or Passive - Accusative Feminine Plural
V-RPM/P-AFS	Verb - Perfect Participle Middle or Passive - Accusative Feminine Singular
V-RPM/P-AMP	Verb - Perfect Participle Middle or Passive - Accusative Masculine Plural
V-RPM/P-AMS	Verb - Perfect Participle Middle or Passive - Accusative Masculine Singular
V-RPM/P-ANP	Verb - Perfect Participle Middle or Passive - Accusative Neuter Plural
V-RPM/P-ANS	Verb - Perfect Participle Middle or Passive - Accusative Neuter Singular
V-RPM/P-DFP	Verb - Perfect Participle Middle or Passive - Dative Feminine Plural
V-RPM/P-DFS	Verb - Perfect Participle Middle or Passive - Dative Feminine Singular
V-RPM/P-DMP	Verb - Perfect Participle Middle or Passive - Dative Masculine Plural
V-RPM/P-DMS	Verb - Perfect Participle Middle or Passive - Dative Masculine Singular
V-RPM/P-DNP	Verb - Perfect Participle Middle or Passive - Dative Neuter Plural
V-RPM/P-DNS	Verb - Perfect Participle Middle or Passive - Dative Neuter Singular
V-RPM/P-GFP	Verb - Perfect Participle Middle or Passive - Genitive Feminine Plural
V-RPM/P-GFS	Verb - Perfect Participle Middle or Passive - Genitive Feminine Singular
V-RPM/P-GMP	Verb - Perfect Participle Middle or Passive - Genitive Masculine Plural
V-RPM/P-GMS	Verb - Perfect Participle Middle or Passive - Genitive Masculine Singular
V-RPM/P-GNP	Verb - Perfect Participle Middle or Passive - Genitive Neuter Plural
V-RPM/P-GNS	Verb - Perfect Participle Middle or Passive - Genitive Neuter Singular
V-RPM/P-NFP	Verb - Perfect Participle Middle or Passive - Nominative Feminine Plural
V-RPM/P-NFS	Verb - Perfect Participle Middle or Passive - Nominative Feminine Singular
V-RPM/P-NMP	Verb - Perfect Participle Middle or Passive - Nominative Masculine Plural
V-RPM/P-NMS	Verb - Perfect Participle Middle or Passive - Nominative Masculine Singular
V-RPM/P-NNP	Verb - Perfect Participle Middle or Passive - Nominative Neuter Plural
V-RPM/P-NNS	Verb - Perfect Participle Middle or Passive - Nominative Neuter Singular
V-RPM/P-VFS	Verb - Perfect Participle Middle or Passive - Vocative Feminine Singular
V-RPM/P-VMP	Verb - Perfect Participle Middle or Passive - Vocative Masculine Plural
V-RPM/P-VMS	Verb - Perfect Participle Middle or Passive - Vocative Masculine Singular
V-RPP-AFS	Verb - Perfect Participle Passive - Accusative Feminine Singular
V-RPP-AMP	Verb - Perfect Participle Passive - Accusative Masculine Plural
V-RPP-NFS	Verb - Perfect Participle Passive - Nominative Feminine Singular
V-RSA-1P	Verb - Perfect Subjunctive Active - 1st Person Plural
V-RSA-1S	Verb - Perfect Subjunctive Active - 1st Person Singular
V-RSA-2P	Verb - Perfect Subjunctive Active - 2nd Person Plural
V-RSA-2S	Verb - Perfect Subjunctive Active - 2nd Person Singular
